Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
MDN ,1.0,0.75,0.7364 ± 0.0323,0.1761 ± 0.0089,0.8262 ± 0.0281,0.3218 ± 0.2821,0.7367,0.1822,0.7885,0.0367
MDN ,1.0,0.5,0.6617 ± 0.0683,0.2379 ± 0.0091,0.8085 ± 0.0208,0.4086 ± 0.2477,0.7160,0.2418,0.7819,0.0921
MDN ,1.0,0.25,0.6212 ± 0.0728,0.3402 ± 0.0169,0.7759 ± 0.0302,0.4215 ± 0.1081,0.6857,0.3855,0.7654,0.4578
MDN ,0.75,1.0,0.7733 ± 0.0119,0.1454 ± 0.0124,0.8308 ± 0.0208,0.3459 ± 0.2833,0.7519,0.1440,0.8251,0.0595
MDN ,0.75,0.75,0.7655 ± 0.0127,0.1696 ± 0.0053,0.8369 ± 0.0187,0.4262 ± 0.2593,0.7403,0.1767,0.8106,0.0656
MDN ,0.75,0.5,0.7462 ± 0.0016,0.2217 ± 0.0063,0.8219 ± 0.0222,0.5092 ± 0.1512,0.7218,0.2397,0.7793,0.1834
MDN ,0.75,0.25,0.6913 ± 0.0240,0.3299 ± 0.0073,0.7707 ± 0.0268,0.5534 ± 0.1909,0.6577,0.3523,0.7297,0.2742
MDN ,0.5,1.0,0.7901 ± 0.0166,0.1401 ± 0.0128,0.8488 ± 0.0217,0.6385 ± 0.2371,0.7489,0.1447,0.8280,0.7827
MDN ,0.5,0.75,0.7757 ± 0.0071,0.1655 ± 0.0091,0.8369 ± 0.0138,0.4941 ± 0.1011,0.7275,0.1698,0.8127,0.6116
MDN ,0.5,0.5,0.7591 ± 0.0121,0.1980 ± 0.0145,0.8263 ± 0.0202,0.3508 ± 0.1033,0.7127,0.2121,0.7872,0.3296
MDN ,0.5,0.25,0.7229 ± 0.0258,0.2747 ± 0.0109,0.7817 ± 0.0346,0.2072 ± 0.0919,0.6885,0.2905,0.7746,0.0938
MDN ,0.25,1.0,0.8160 ± 0.0255,0.1281 ± 0.0140,0.8721 ± 0.0267,0.1946 ± 0.0604,0.7797,0.1210,0.8533,0.0842
MDN ,0.25,0.75,0.8042 ± 0.0313,0.1347 ± 0.0085,0.8582 ± 0.0313,0.1616 ± 0.0533,0.7540,0.1482,0.8201,0.0611
MDN ,0.25,0.5,0.7937 ± 0.0194,0.1536 ± 0.0095,0.8427 ± 0.0170,0.1162 ± 0.0413,0.7482,0.1598,0.8067,0.0404
MDN ,0.25,0.25,0.7685 ± 0.0425,0.1889 ± 0.0097,0.8137 ± 0.0465,0.0900 ± 0.0513,0.7174,0.1952,0.7719,0.0323
