Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
CoxPH ,0.25,0.75,0.7964 ± 0.0235,0.1279 ± 0.0080,0.8433 ± 0.0256,0.0063 ± 0.0058,0.7508,0.1365,0.8047,0.0000
CoxPH ,0.25,0.5,0.7875 ± 0.0242,0.1521 ± 0.0068,0.8337 ± 0.0263,0.0004 ± 0.0005,0.7414,0.1593,0.7985,0.0000
CoxPH ,0.25,0.25,0.7747 ± 0.0319,0.2022 ± 0.0157,0.8222 ± 0.0324,0.0000 ± 0.0000,0.7226,0.2110,0.7902,0.0000
SurvivalTree $_{LogRank}$,1.0,1.0,0.7777 ± 0.0157,0.1310 ± 0.0071,0.8282 ± 0.0263,0.3960 ± 0.2105,0.7522,0.1422,0.7988,0.0544
SurvivalTree $_{LogRank}$,1.0,0.75,0.7486 ± 0.0302,0.1667 ± 0.0104,0.8181 ± 0.0230,0.6511 ± 0.2878,0.7393,0.1832,0.7963,0.0099
SurvivalTree $_{LogRank}$,1.0,0.5,0.6981 ± 0.0452,0.2200 ± 0.0135,0.8167 ± 0.0209,0.4374 ± 0.2519,0.7230,0.2530,0.8066,0.8089
SurvivalTree $_{LogRank}$,1.0,0.25,0.6771 ± 0.0536,0.2923 ± 0.0557,0.8375 ± 0.0283,0.0535 ± 0.0740,0.6974,0.4285,0.7793,0.0003
SurvivalTree $_{LogRank}$,0.75,1.0,0.7830 ± 0.0153,0.1321 ± 0.0064,0.8256 ± 0.0288,0.6535 ± 0.2454,0.7488,0.1492,0.7992,0.1549
SurvivalTree $_{LogRank}$,0.75,0.75,0.7721 ± 0.0119,0.1588 ± 0.0087,0.8212 ± 0.0222,0.4668 ± 0.1907,0.7304,0.1828,0.7977,0.0484
SurvivalTree $_{LogRank}$,0.75,0.5,0.7590 ± 0.0080,0.2054 ± 0.0092,0.8165 ± 0.0253,0.1585 ± 0.1472,0.7254,0.2164,0.8094,0.0000
SurvivalTree $_{LogRank}$,0.75,0.25,0.7191 ± 0.0110,0.2527 ± 0.0330,0.8350 ± 0.0317,0.0039 ± 0.0064,0.6997,0.2923,0.7773,0.0000
SurvivalTree $_{LogRank}$,0.5,1.0,0.7837 ± 0.0180,0.1244 ± 0.0073,0.8231 ± 0.0287,0.0515 ± 0.0338,0.7494,0.1381,0.8062,0.0004
SurvivalTree $_{LogRank}$,0.5,0.75,0.7779 ± 0.0103,0.1375 ± 0.0059,0.8197 ± 0.0206,0.0210 ± 0.0137,0.7399,0.1579,0.8023,0.0000
SurvivalTree $_{LogRank}$,0.5,0.5,0.7694 ± 0.0192,0.1607 ± 0.0056,0.7963 ± 0.0212,0.0073 ± 0.0056,0.7285,0.1856,0.7942,0.0000
SurvivalTree $_{LogRank}$,0.5,0.25,0.7539 ± 0.0210,0.1978 ± 0.0149,0.8274 ± 0.0601,0.0001 ± 0.0001,0.6977,0.2438,0.7533,0.0000
SurvivalTree $_{LogRank}$,0.25,1.0,0.8134 ± 0.0271,0.0828 ± 0.0079,0.8245 ± 0.0411,0.0209 ± 0.0267,0.7774,0.0950,0.7915,0.0000
SurvivalTree $_{LogRank}$,0.25,0.75,0.8084 ± 0.0260,0.0873 ± 0.0064,0.8245 ± 0.0291,0.0159 ± 0.0179,0.7785,0.1012,0.7952,0.0001
SurvivalTree $_{LogRank}$,0.25,0.5,0.8079 ± 0.0256,0.0931 ± 0.0066,0.8036 ± 0.0308,0.0013 ± 0.0020,0.7669,0.1029,0.8141,0.0001
SurvivalTree $_{LogRank}$,0.25,0.25,0.7861 ± 0.0321,0.0997 ± 0.0123,0.8387 ± 0.0449,0.0000 ± 0.0000,0.7034,0.1270,0.7397,0.0000
SurvivalTree ,1.0,1.0,0.7774 ± 0.0155,0.1309 ± 0.0070,0.8282 ± 0.0262,0.4292 ± 0.2607,0.7522,0.1422,0.7988,0.0544
SurvivalTree ,1.0,0.75,0.7486 ± 0.0302,0.1667 ± 0.0104,0.8183 ± 0.0230,0.6511 ± 0.2878,0.7393,0.1832,0.7963,0.0099
SurvivalTree ,1.0,0.5,0.6965 ± 0.0431,0.2202 ± 0.0135,0.8152 ± 0.0213,0.4657 ± 0.2671,0.7230,0.2530,0.8066,0.8089
SurvivalTree ,1.0,0.25,0.6770 ± 0.0537,0.2923 ± 0.0558,0.8381 ± 0.0277,0.0541 ± 0.0739,0.6974,0.4285,0.7793,0.0003
SurvivalTree ,0.75,1.0,0.7820 ± 0.0151,0.1317 ± 0.0063,0.8256 ± 0.0286,0.6709 ± 0.2437,0.7488,0.1492,0.7992,0.1549
SurvivalTree ,0.75,0.75,0.7717 ± 0.0122,0.1589 ± 0.0086,0.8215 ± 0.0222,0.4713 ± 0.1550,0.7304,0.1828,0.7977,0.0484
SurvivalTree ,0.75,0.5,0.7612 ± 0.0103,0.2043 ± 0.0088,0.8077 ± 0.0257,0.2292 ± 0.2553,0.7255,0.2162,0.8089,0.0000
SurvivalTree ,0.75,0.25,0.7231 ± 0.0144,0.2547 ± 0.0359,0.8345 ± 0.0430,0.0009 ± 0.0007,0.6997,0.2923,0.7773,0.0000
SurvivalTree ,0.5,1.0,0.7831 ± 0.0181,0.1246 ± 0.0070,0.8233 ± 0.0280,0.0411 ± 0.0282,0.7494,0.1381,0.8062,0.0004
SurvivalTree ,0.5,0.75,0.7763 ± 0.0127,0.1378 ± 0.0061,0.8193 ± 0.0222,0.0221 ± 0.0141,0.7409,0.1579,0.8020,0.0000
SurvivalTree ,0.5,0.5,0.7680 ± 0.0174,0.1608 ± 0.0057,0.8073 ± 0.0206,0.0077 ± 0.0057,0.7335,0.1846,0.8006,0.0000
SurvivalTree ,0.5,0.25,0.7534 ± 0.0196,0.1977 ± 0.0147,0.8272 ± 0.0480,0.0003 ± 0.0005,0.6977,0.2438,0.7533,0.0000
SurvivalTree ,0.25,1.0,0.8133 ± 0.0269,0.0828 ± 0.0080,0.8245 ± 0.0409,0.0187 ± 0.0229,0.7774,0.0950,0.7915,0.0000
