No protocol specified
[32m[I 2022-04-13 11:43:56,700][0m A new study created in memory with name: no-name-5c911470-f42c-4c1b-99d7-65d995f09833[0m
[32m[I 2022-04-13 11:45:18,643][0m Trial 16 finished with value: 0.8117295742522387 and parameters: {'n_estimators': 994, 'min_samples_split': 0.1667006709607859, 'min_samples_leaf': 0.3080431380720676, 'min_weight_fraction_leaf': 0.08200491620527466, 'max_features': 0.15403643342600123, 'bootstrap': False, 'max_samples': 0.571387078253607}. Best is trial 12 with value: 0.8644736096648635.[0m
[32m[I 2022-04-13 11:45:27,744][0m Trial 17 finished with value: 0.8591613140849429 and parameters: {'n_estimators': 892, 'min_samples_split': 0.0611844611820946, 'min_samples_leaf': 0.05520194641897933, 'min_weight_fraction_leaf': 0.2012196048248272, 'max_features': 0.23824057747490746, 'bootstrap': False, 'max_samples': 0.5077261321319638}. Best is trial 12 with value: 0.8644736096648635.[0m
[32m[I 2022-04-13 11:45:37,933][0m Trial 18 finished with value: 0.8411572721396225 and parameters: {'n_estimators': 703, 'min_samples_split': 0.1497628402068444, 'min_samples_leaf': 0.18531379136586304, 'min_weight_fraction_leaf': 0.19204106662653297, 'max_features': 0.6720516937426655, 'bootstrap': False, 'max_samples': 0.6813424343208747}. Best is trial 12 with value: 0.8644736096648635.[0m
[32m[I 2022-04-13 11:45:43,210][0m Trial 19 finished with value: 0.8664193217563039 and parameters: {'n_estimators': 290, 'min_samples_split': 0.0606688904289672, 'min_samples_leaf': 0.0989922626851675, 'min_weight_fraction_leaf': 0.07407670144898418, 'max_features': 0.4243087209702222, 'bootstrap': False, 'max_samples': 0.46883924165340474}. Best is trial 19 with value: 0.8664193217563039.[0m
[32m[I 2022-04-13 11:45:48,075][0m Trial 20 finished with value: 0.8393804667887791 and parameters: {'n_estimators': 278, 'min_samples_split': 0.26399972167467056, 'min_samples_leaf': 0.27378233104754873, 'min_weight_fraction_leaf': 0.18489050137244212, 'max_features': 0.6268234196364674, 'bootstrap': False, 'max_samples': 0.27724334298378683}. Best is trial 19 with value: 0.8664193217563039.[0m
[32m[I 2022-04-13 11:45:52,057][0m Trial 21 finished with value: 0.8691115133793434 and parameters: {'n_estimators': 158, 'min_samples_split': 0.060744242131427734, 'min_samples_leaf': 0.078684767697788, 'min_weight_fraction_leaf': 0.07150770984731059, 'max_features': 0.40742484494857256, 'bootstrap': False, 'max_samples': 0.5039689806266815}. Best is trial 21 with value: 0.8691115133793434.[0m
[32m[I 2022-04-13 11:45:56,816][0m Trial 22 finished with value: 0.8670851258376224 and parameters: {'n_estimators': 137, 'min_samples_split': 0.0701752264562211, 'min_samples_leaf': 0.0026523545379414787, 'min_weight_fraction_leaf': 0.054451019633832004, 'max_features': 0.42360922600497075, 'bootstrap': False, 'max_samples': 0.46593740685311313}. Best is trial 21 with value: 0.8691115133793434.[0m
[32m[I 2022-04-13 11:46:01,567][0m Trial 23 finished with value: 0.8697887718890577 and parameters: {'n_estimators': 152, 'min_samples_split': 0.0692674304935315, 'min_samples_leaf': 0.0038656181988968768, 'min_weight_fraction_leaf': 0.06608631499524074, 'max_features': 0.43438194447155937, 'bootstrap': False, 'max_samples': 0.4628017107051108}. Best is trial 23 with value: 0.8697887718890577.[0m
[32m[I 2022-04-13 11:46:07,056][0m Trial 24 finished with value: 0.8696937846261882 and parameters: {'n_estimators': 137, 'min_samples_split': 0.15107665666566011, 'min_samples_leaf': 0.017067263200027768, 'min_weight_fraction_leaf': 0.034591234316183404, 'max_features': 0.5732544761762958, 'bootstrap': False, 'max_samples': 0.2811798101644186}. Best is trial 23 with value: 0.8697887718890577.[0m
[32m[I 2022-04-13 11:46:11,906][0m Trial 25 finished with value: 0.8711387946068111 and parameters: {'n_estimators': 134, 'min_samples_split': 0.14552424054610333, 'min_samples_leaf': 0.029173767625042417, 'min_weight_fraction_leaf': 0.010303781609271104, 'max_features': 0.5830251092116377, 'bootstrap': False, 'max_samples': 0.24156183533976683}. Best is trial 25 with value: 0.8711387946068111.[0m
