Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
CoxPH ,0.25,0.75,0.6922 ± 0.0236,0.2212 ± 0.0363,0.7837 ± 0.0286,0.3494 ± 0.2702,0.6918,0.2290,0.7687,0.1330
CoxPH ,0.25,0.5,0.6915 ± 0.0274,0.3402 ± 0.0312,0.7745 ± 0.0332,0.0301 ± 0.0208,0.6744,0.3697,0.7579,0.0048
CoxPH ,0.25,0.25,0.6875 ± 0.0276,0.6976 ± 0.0878,0.7592 ± 0.0467,0.0013 ± 0.0014,0.6591,0.7279,0.7328,0.0000
SurvivalTree $_{LogRank}$,1.0,1.0,0.6792 ± 0.0208,0.1563 ± 0.0232,0.7096 ± 0.0512,0.5911 ± 0.2768,0.6735,0.1637,0.7357,0.1786
SurvivalTree $_{LogRank}$,1.0,0.75,0.6537 ± 0.0313,0.2188 ± 0.0222,0.6834 ± 0.0685,0.4868 ± 0.1688,0.6480,0.2473,0.7274,0.3904
SurvivalTree $_{LogRank}$,1.0,0.5,0.6078 ± 0.0154,0.2724 ± 0.0419,0.6603 ± 0.0897,0.1171 ± 0.0810,0.6244,0.3640,0.7334,0.0135
SurvivalTree $_{LogRank}$,1.0,0.25,0.6233 ± 0.0697,0.2567 ± 0.0412,0.6393 ± 0.0845,0.0013 ± 0.0019,0.6477,0.4657,0.7366,0.0000
SurvivalTree $_{LogRank}$,0.75,1.0,0.6792 ± 0.0208,0.1563 ± 0.0232,0.7096 ± 0.0512,0.5911 ± 0.2768,0.6735,0.1637,0.7357,0.1786
SurvivalTree $_{LogRank}$,0.75,0.75,0.6537 ± 0.0313,0.2188 ± 0.0222,0.6834 ± 0.0685,0.4868 ± 0.1688,0.6480,0.2473,0.7274,0.3904
SurvivalTree $_{LogRank}$,0.75,0.5,0.6078 ± 0.0154,0.2724 ± 0.0419,0.6603 ± 0.0897,0.1171 ± 0.0810,0.6244,0.3640,0.7334,0.0135
SurvivalTree $_{LogRank}$,0.75,0.25,0.6233 ± 0.0697,0.2567 ± 0.0412,0.6393 ± 0.0845,0.0013 ± 0.0019,0.6477,0.4657,0.7366,0.0000
SurvivalTree $_{LogRank}$,0.5,1.0,0.6853 ± 0.0172,0.1628 ± 0.0179,0.7092 ± 0.0517,0.6144 ± 0.2404,0.6833,0.1699,0.7349,0.1920
SurvivalTree $_{LogRank}$,0.5,0.75,0.6686 ± 0.0324,0.2177 ± 0.0214,0.6832 ± 0.0683,0.5031 ± 0.1675,0.6719,0.2377,0.7264,0.6668
SurvivalTree $_{LogRank}$,0.5,0.5,0.6293 ± 0.0415,0.2718 ± 0.0407,0.6600 ± 0.0894,0.1309 ± 0.0999,0.6604,0.3655,0.7197,0.0385
SurvivalTree $_{LogRank}$,0.5,0.25,0.6189 ± 0.0628,0.2571 ± 0.0411,0.6404 ± 0.0851,0.0008 ± 0.0010,0.6525,0.4657,0.7366,0.0000
SurvivalTree $_{LogRank}$,0.25,1.0,0.6889 ± 0.0264,0.1722 ± 0.0085,0.7024 ± 0.0561,0.6594 ± 0.2567,0.6857,0.1777,0.7337,0.7766
