Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
MDN $_{LogRank}$,0.25,1.0,0.6931 ± 0.0186,0.1950 ± 0.0831,0.8367 ± 0.0414,0.3225 ± 0.1185,0.6872,0.1959,0.8135,0.6971
MDN $_{LogRank}$,0.25,0.75,0.6821 ± 0.0261,0.2494 ± 0.0944,0.8191 ± 0.0718,0.5371 ± 0.2722,0.6619,0.2821,0.6944,0.2539
MDN $_{LogRank}$,0.25,0.5,0.6797 ± 0.0253,0.3420 ± 0.0818,0.8052 ± 0.0607,0.5528 ± 0.2786,0.6971,0.4684,0.8167,0.6072
MDN $_{LogRank}$,0.25,0.25,0.6342 ± 0.0446,0.5989 ± 0.1593,0.5944 ± 0.1780,0.5034 ± 0.2866,0.5280,0.5968,0.4189,0.6092
MDN ,1.0,1.0,0.6864 ± 0.0202,0.1576 ± 0.0567,0.8362 ± 0.0486,0.6742 ± 0.2210,0.6877,0.1505,0.8016,0.4659
MDN ,1.0,0.75,0.6860 ± 0.0184,0.2377 ± 0.0725,0.8161 ± 0.0459,0.6100 ± 0.1332,0.7224,0.2562,0.8246,0.4750
MDN ,1.0,0.5,0.6491 ± 0.0366,0.3809 ± 0.1212,0.7883 ± 0.0447,0.3872 ± 0.1997,0.7105,0.3749,0.8225,0.6545
MDN ,1.0,0.25,0.4841 ± 0.1501,0.6728 ± 0.1191,0.4459 ± 0.2100,0.3601 ± 0.2914,0.7122,0.5626,0.7976,0.5736
MDN ,0.75,1.0,0.6818 ± 0.0177,0.1562 ± 0.0563,0.8389 ± 0.0465,0.5413 ± 0.2217,0.7183,0.1656,0.8335,0.6437
MDN ,0.75,0.75,0.6545 ± 0.0201,0.2509 ± 0.0947,0.8027 ± 0.0433,0.6331 ± 0.2645,0.6948,0.2327,0.7992,0.7048
MDN ,0.75,0.5,0.6387 ± 0.0208,0.4100 ± 0.1119,0.7790 ± 0.0422,0.4730 ± 0.2664,0.4390,0.4176,0.3837,0.1713
MDN ,0.75,0.25,0.6178 ± 0.0516,0.6755 ± 0.1890,0.7285 ± 0.0877,0.4253 ± 0.2859,0.7010,0.4687,0.8075,0.5078
MDN ,0.5,1.0,0.7003 ± 0.0238,0.1536 ± 0.0539,0.8393 ± 0.0457,0.5679 ± 0.1141,0.5071,0.3140,0.5845,0.0000
MDN ,0.5,0.75,0.6965 ± 0.0188,0.2137 ± 0.0822,0.8364 ± 0.0565,0.5386 ± 0.1489,0.7219,0.2702,0.8238,0.0429
MDN ,0.5,0.5,0.6637 ± 0.0478,0.3860 ± 0.0827,0.7694 ± 0.0498,0.6554 ± 0.2911,0.6688,0.3813,0.8002,0.1588
MDN ,0.5,0.25,0.6703 ± 0.0522,0.6227 ± 0.0328,0.7402 ± 0.0608,0.4228 ± 0.2310,0.6955,0.5097,0.7971,0.0593
MDN ,0.25,1.0,0.6930 ± 0.0242,0.1900 ± 0.0763,0.8405 ± 0.0449,0.4966 ± 0.1768,0.6980,0.1679,0.8330,0.6804
MDN ,0.25,0.75,0.6768 ± 0.0129,0.2449 ± 0.0868,0.8322 ± 0.0360,0.4328 ± 0.3942,0.6987,0.2718,0.8164,0.0871
MDN ,0.25,0.5,0.7030 ± 0.0393,0.3132 ± 0.1032,0.8290 ± 0.0468,0.3041 ± 0.2466,0.5431,0.4655,0.6231,0.0000
MDN ,0.25,0.25,0.6507 ± 0.0731,0.5512 ± 0.1367,0.7079 ± 0.1574,0.4309 ± 0.3217,0.3161,0.6141,0.1929,0.0003
