Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
MDN ,0.75,0.75,0.6515 ± 0.0189,0.2483 ± 0.0541,0.7457 ± 0.0638,0.5162 ± 0.2591,0.6864,0.2341,0.6536,0.2225
MDN ,0.75,0.5,0.6330 ± 0.0513,0.4112 ± 0.1109,0.6374 ± 0.1406,0.5725 ± 0.2925,0.6176,0.4269,0.5865,0.0035
MDN ,0.75,0.25,0.6266 ± 0.0216,0.6316 ± 0.1017,0.6668 ± 0.0499,0.2592 ± 0.3107,0.5707,0.7000,0.5923,0.0036
MDN ,0.5,1.0,0.6764 ± 0.0230,0.1521 ± 0.0417,0.7930 ± 0.0628,0.4163 ± 0.2565,0.7101,0.1454,0.6721,0.2115
MDN ,0.5,0.75,0.6709 ± 0.0397,0.2416 ± 0.0648,0.7775 ± 0.0642,0.5958 ± 0.1454,0.7172,0.2458,0.6934,0.0034
MDN ,0.5,0.5,0.6385 ± 0.0306,0.3941 ± 0.0622,0.7008 ± 0.0299,0.4184 ± 0.2717,0.6360,0.3907,0.6150,0.7058
MDN ,0.5,0.25,0.5580 ± 0.0421,0.7560 ± 0.1254,0.5690 ± 0.0956,0.3068 ± 0.2791,0.5772,0.7832,0.4835,0.0000
MDN ,0.25,1.0,0.6810 ± 0.0320,0.1734 ± 0.0630,0.8113 ± 0.0771,0.5114 ± 0.2070,0.7247,0.1894,0.6610,0.8750
MDN ,0.25,0.75,0.6757 ± 0.0352,0.2517 ± 0.0637,0.7975 ± 0.0631,0.4344 ± 0.1481,0.6901,0.2793,0.6629,0.8581
MDN ,0.25,0.5,0.6363 ± 0.0520,0.3594 ± 0.0587,0.6783 ± 0.1087,0.4768 ± 0.2885,0.6923,0.3797,0.6514,0.5113
MDN ,0.25,0.25,0.6002 ± 0.0402,0.5890 ± 0.1079,0.6748 ± 0.0760,0.3247 ± 0.1854,0.6097,0.6898,0.5887,0.2751
