Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
CoxPH ,0.25,0.5,0.6535 ± 0.0257,0.3740 ± 0.0638,0.7088 ± 0.0428,0.0337 ± 0.0507,0.6854,0.4804,0.7396,0.0000
CoxPH ,0.25,0.25,0.6280 ± 0.0256,0.7082 ± 0.0487,0.6832 ± 0.0368,0.0000 ± 0.0001,0.6706,0.8456,0.7110,0.0000
SurvivalTree _LogRank,1.0,1.0,0.6681 ± 0.0302,0.1522 ± 0.0224,0.7096 ± 0.0402,0.6360 ± 0.2454,0.6523,0.1767,0.7008,0.1602
SurvivalTree _LogRank,1.0,0.75,0.6477 ± 0.0314,0.2451 ± 0.0501,0.6538 ± 0.0572,0.3498 ± 0.1384,0.6241,0.2381,0.6892,0.1113
SurvivalTree _LogRank,1.0,0.5,0.6343 ± 0.0300,0.3678 ± 0.0255,0.6464 ± 0.0279,0.1171 ± 0.1765,0.5607,0.3071,0.6282,0.0000
SurvivalTree _LogRank,1.0,0.25,0.5297 ± 0.0583,0.3890 ± 0.0708,0.6038 ± 0.0474,0.0003 ± 0.0005,0.5432,0.3126,0.5764,0.0000
SurvivalTree _LogRank,0.75,1.0,0.6681 ± 0.0302,0.1522 ± 0.0224,0.7096 ± 0.0402,0.6360 ± 0.2454,0.6523,0.1767,0.7008,0.1602
SurvivalTree _LogRank,0.75,0.75,0.6477 ± 0.0314,0.2451 ± 0.0501,0.6538 ± 0.0572,0.3498 ± 0.1384,0.6241,0.2381,0.6892,0.1113
SurvivalTree _LogRank,0.75,0.5,0.6343 ± 0.0300,0.3678 ± 0.0255,0.6464 ± 0.0279,0.1171 ± 0.1765,0.5607,0.3071,0.6282,0.0000
SurvivalTree _LogRank,0.75,0.25,0.5297 ± 0.0583,0.3890 ± 0.0708,0.6038 ± 0.0474,0.0003 ± 0.0005,0.5432,0.3126,0.5764,0.0000
SurvivalTree _LogRank,0.5,1.0,0.6677 ± 0.0316,0.1745 ± 0.0220,0.7046 ± 0.0398,0.5405 ± 0.2081,0.6570,0.1792,0.6925,0.3979
SurvivalTree _LogRank,0.5,0.75,0.6549 ± 0.0273,0.2449 ± 0.0200,0.6611 ± 0.0364,0.4310 ± 0.3120,0.6441,0.2465,0.6887,0.0077
SurvivalTree _LogRank,0.5,0.5,0.6242 ± 0.0282,0.3687 ± 0.0266,0.6456 ± 0.0279,0.1436 ± 0.2098,0.5746,0.3092,0.6279,0.0001
SurvivalTree _LogRank,0.5,0.25,0.5366 ± 0.0427,0.3892 ± 0.0704,0.6036 ± 0.0482,0.0003 ± 0.0005,0.5511,0.3083,0.5804,0.0000
SurvivalTree _LogRank,0.25,1.0,0.6504 ± 0.0531,0.2054 ± 0.0384,0.6975 ± 0.0563,0.4936 ± 0.2538,0.6668,0.1847,0.7034,0.2264
SurvivalTree _LogRank,0.25,0.75,0.6407 ± 0.0141,0.2469 ± 0.0064,0.6665 ± 0.0440,0.2349 ± 0.1835,0.6332,0.2510,0.6952,0.0005
SurvivalTree _LogRank,0.25,0.5,0.5882 ± 0.0247,0.3774 ± 0.0473,0.6120 ± 0.0119,0.0781 ± 0.0857,0.6122,0.3054,0.6315,0.0000
SurvivalTree _LogRank,0.25,0.25,0.5679 ± 0.0394,0.3510 ± 0.0529,0.5506 ± 0.0286,0.0072 ± 0.0100,0.5693,0.3238,0.5480,0.0000
SurvivalTree ,1.0,1.0,0.6612 ± 0.0366,0.1574 ± 0.0377,0.6949 ± 0.0498,0.4133 ± 0.1963,0.6444,0.1553,0.6785,0.0267
SurvivalTree ,1.0,0.75,0.6376 ± 0.0248,0.2499 ± 0.0260,0.6430 ± 0.0384,0.5571 ± 0.2006,0.6044,0.2402,0.6802,0.3390
SurvivalTree ,1.0,0.5,0.6247 ± 0.0338,0.3340 ± 0.0328,0.6526 ± 0.0276,0.0470 ± 0.0520,0.6465,0.3110,0.6771,0.0000
SurvivalTree ,1.0,0.25,0.5315 ± 0.0681,0.3567 ± 0.0647,0.5848 ± 0.0663,0.0001 ± 0.0002,0.5386,0.3123,0.5826,0.0000
SurvivalTree ,0.75,1.0,0.6612 ± 0.0366,0.1574 ± 0.0377,0.6949 ± 0.0498,0.4133 ± 0.1963,0.6444,0.1553,0.6785,0.0267
