Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
MDN ,1.0,1.0,0.8489 ± 0.0090,0.1300 ± 0.0088,0.8721 ± 0.0096,0.5426 ± 0.2124,0.8560,0.1282,0.8802,0.1639
MDN ,1.0,0.75,0.8028 ± 0.0078,0.1990 ± 0.0050,0.8502 ± 0.0065,0.0086 ± 0.0151,0.8014,0.2118,0.8417,0.0000
MDN ,1.0,0.5,0.7173 ± 0.0243,0.3462 ± 0.0491,0.7911 ± 0.0296,0.1304 ± 0.2271,0.7128,0.3166,0.7742,0.2289
MDN ,1.0,0.25,0.6648 ± 0.0120,0.6685 ± 0.0874,0.7574 ± 0.0217,0.0000 ± 0.0000,0.6744,0.6265,0.7442,0.0000
MDN ,0.75,1.0,0.8524 ± 0.0065,0.1294 ± 0.0082,0.8740 ± 0.0079,0.3556 ± 0.2352,0.8594,0.1242,0.8876,0.7726
MDN ,0.75,0.75,0.8158 ± 0.0092,0.1962 ± 0.0153,0.8549 ± 0.0097,0.0816 ± 0.1317,0.8172,0.1864,0.8583,0.0001
MDN ,0.75,0.5,0.7386 ± 0.0221,0.3442 ± 0.0249,0.8020 ± 0.0209,0.0020 ± 0.0032,0.7509,0.3886,0.8106,0.0000
MDN ,0.75,0.25,0.6887 ± 0.0296,0.6261 ± 0.0599,0.7571 ± 0.0509,0.0010 ± 0.0017,0.6929,0.7534,0.7625,0.0000
MDN ,0.5,1.0,0.8614 ± 0.0056,0.1304 ± 0.0075,0.8806 ± 0.0066,0.1309 ± 0.1078,0.8636,0.1301,0.8884,0.0010
MDN ,0.5,0.75,0.8288 ± 0.0122,0.1872 ± 0.0102,0.8588 ± 0.0090,0.1301 ± 0.2202,0.8274,0.1826,0.8678,0.0000
MDN ,0.5,0.5,0.7714 ± 0.0210,0.3574 ± 0.0360,0.8127 ± 0.0256,0.0004 ± 0.0006,0.7688,0.3754,0.8181,0.0486
MDN ,0.5,0.25,0.6780 ± 0.0349,0.5880 ± 0.0568,0.7144 ± 0.0650,0.0000 ± 0.0000,0.7151,0.6313,0.7744,0.0000
MDN ,0.25,1.0,0.8791 ± 0.0037,0.1221 ± 0.0048,0.9003 ± 0.0082,0.0006 ± 0.0010,0.8779,0.1222,0.9018,0.0000
MDN ,0.25,0.75,0.8388 ± 0.0131,0.1812 ± 0.0106,0.8677 ± 0.0159,0.0029 ± 0.0031,0.8439,0.1866,0.8676,0.0000
MDN ,0.25,0.5,0.8068 ± 0.0162,0.2894 ± 0.0242,0.8432 ± 0.0200,0.0008 ± 0.0015,0.7728,0.3074,0.7994,0.1022
MDN ,0.25,0.25,0.7294 ± 0.0155,0.5122 ± 0.0738,0.7716 ± 0.0151,0.0000 ± 0.0000,0.7633,0.5586,0.8115,0.0000
